=== Pass1 -> L1.dat ===
Total transactions: 948420
Pass1 time: 0.268 sec
=== Pass2 -> L2.dat ===
Found 1526 frequent pairs
Pass2 time: 1.716 sec
=== Pass3 -> L3.dat ===
Found 1977 frequent triples
Pass3 time: 2.579 sec

=== Association Rules (confidence >= 0.60) ===
{2} => {7}, support=0.1149, confidence=0.6260
{334} => {7}, support=0.0011, confidence=0.8752
{339} => {7}, support=0.0020, confidence=0.8641
{340} => {7}, support=0.0020, confidence=0.8781
{345} => {7}, support=0.0010, confidence=0.9084
{322} => {8}, support=0.0055, confidence=0.8011
{354} => {7}, support=0.0015, confidence=0.8314
{355} => {7}, support=0.0020, confidence=0.9100
{357} => {7}, support=0.0017, confidence=0.9033
{358} => {7}, support=0.0027, confidence=0.9218
{359} => {7}, support=0.0023, confidence=0.9124
{205} => {12}, support=0.0013, confidence=0.6619
{206} => {12}, support=0.0097, confidence=0.6619
{362} => {7}, support=0.0053, confidence=0.9210
{364} => {7}, support=0.0015, confidence=0.9031
{365} => {7}, support=0.0053, confidence=0.9305
{212} => {12}, support=0.0017, confidence=0.6517
{213} => {12}, support=0.0015, confidence=0.6710
{216} => {12}, support=0.0115, confidence=0.6584
{373} => {7}, support=0.0013, confidence=0.9261
{219} => {12}, support=0.0421, confidence=0.6151
{221} => {12}, support=0.0016, confidence=0.7539
{222} => {12}, support=0.0012, confidence=0.7829
{379} => {7}, support=0.0086, confidence=0.9128
{380} => {7}, support=0.0042, confidence=0.9223
{381} => {7}, support=0.0012, confidence=0.9061
{383} => {7}, support=0.0014, confidence=0.8866
{230} => {12}, support=0.0032, confidence=0.7436
{231} => {12}, support=0.0021, confidence=0.7391
{233} => {12}, support=0.0012, confidence=0.7332
{234} => {12}, support=0.0015, confidence=0.7543
{236} => {12}, support=0.0014, confidence=0.7400
{238} => {12}, support=0.0016, confidence=0.7399
{398} => {7}, support=0.0021, confidence=0.8857
{400} => {7}, support=0.0010, confidence=0.8577
{401} => {7}, support=0.0020, confidence=0.8432
{403} => {7}, support=0.0016, confidence=0.8613
{248} => {12}, support=0.0020, confidence=0.6457
{254} => {12}, support=0.0013, confidence=0.7690
{255} => {12}, support=0.0037, confidence=0.7876
{256} => {12}, support=0.0032, confidence=0.7909
{260} => {12}, support=0.0026, confidence=0.7716
{261} => {12}, support=0.0020, confidence=0.7547
{262} => {12}, support=0.0011, confidence=0.7679
{266} => {12}, support=0.0036, confidence=0.6788
{422} => {7}, support=0.0011, confidence=0.8641
{267} => {12}, support=0.0011, confidence=0.7548
{423} => {7}, support=0.0020, confidence=0.8759
{424} => {7}, support=0.0057, confidence=0.9462
{269} => {12}, support=0.0013, confidence=0.7134
{425} => {7}, support=0.0016, confidence=0.9189
{274} => {12}, support=0.0076, confidence=0.6378
{400} => {8}, support=0.0010, confidence=0.8603
{401} => {8}, support=0.0018, confidence=0.7511
{277} => {12}, support=0.0019, confidence=0.6392
{403} => {8}, support=0.0016, confidence=0.8340
{435} => {7}, support=0.0027, confidence=0.9161
{436} => {7}, support=0.0026, confidence=0.9044
{282} => {12}, support=0.0023, confidence=0.7274
{439} => {7}, support=0.0111, confidence=0.9533
{446} => {7}, support=0.0013, confidence=0.9373
{291} => {12}, support=0.0042, confidence=0.7099
{447} => {7}, support=0.0142, confidence=0.7777
{293} => {12}, support=0.0013, confidence=0.7521
{449} => {7}, support=0.0021, confidence=0.9157
{297} => {12}, support=0.0016, confidence=0.7573
{453} => {7}, support=0.0024, confidence=0.9271
{422} => {8}, support=0.0010, confidence=0.7799
{454} => {7}, support=0.0012, confidence=0.8886
{456} => {7}, support=0.0020, confidence=0.9076
{459} => {7}, support=0.0012, confidence=0.9072
{304} => {12}, support=0.0094, confidence=0.6492
{307} => {12}, support=0.0020, confidence=0.8139
{308} => {12}, support=0.0016, confidence=0.7005
{468} => {7}, support=0.0021, confidence=0.8582
{313} => {12}, support=0.0011, confidence=0.7284
{315} => {12}, support=0.0074, confidence=0.6684
{471} => {7}, support=0.0028, confidence=0.9498
{473} => {7}, support=0.0012, confidence=0.9328
{474} => {7}, support=0.0024, confidence=0.9153
{322} => {12}, support=0.0047, confidence=0.6824
{325} => {12}, support=0.0018, confidence=0.7717
{483} => {7}, support=0.0016, confidence=0.8731
{331} => {12}, support=0.0010, confidence=0.7581
{332} => {12}, support=0.0011, confidence=0.7518
{492} => {7}, support=0.0032, confidence=0.9348
{493} => {7}, support=0.0044, confidence=0.9065
{339} => {12}, support=0.0017, confidence=0.7449
{495} => {7}, support=0.0046, confidence=0.9057
{340} => {12}, support=0.0017, confidence=0.7713
{497} => {7}, support=0.0028, confidence=0.8698
{499} => {7}, support=0.0014, confidence=0.8673
{500} => {7}, support=0.0029, confidence=0.8256
{505} => {7}, support=0.0079, confidence=0.7945
{507} => {7}, support=0.0042, confidence=0.9648
{509} => {7}, support=0.0016, confidence=0.9106
{355} => {12}, support=0.0017, confidence=0.7427
{357} => {12}, support=0.0013, confidence=0.7161
{513} => {7}, support=0.0060, confidence=0.9236
{358} => {12}, support=0.0022, confidence=0.7614
{359} => {12}, support=0.0018, confidence=0.7298
{515} => {7}, support=0.0029, confidence=0.8737
{517} => {7}, support=0.0012, confidence=0.9158
{362} => {12}, support=0.0046, confidence=0.7949
{364} => {12}, support=0.0012, confidence=0.7477
{365} => {12}, support=0.0043, confidence=0.7587
{521} => {7}, support=0.0013, confidence=0.9140
{522} => {7}, support=0.0031, confidence=0.9244
{523} => {7}, support=0.0023, confidence=0.9145
{524} => {7}, support=0.0011, confidence=0.9255
{526} => {7}, support=0.0012, confidence=0.8663
{373} => {12}, support=0.0011, confidence=0.7618
{529} => {7}, support=0.0012, confidence=0.9175
{532} => {7}, support=0.0027, confidence=0.9023
{379} => {12}, support=0.0065, confidence=0.6953
{535} => {7}, support=0.0027, confidence=0.8805
{380} => {12}, support=0.0035, confidence=0.7724
{538} => {7}, support=0.0023, confidence=0.9336
{383} => {12}, support=0.0012, confidence=0.7532
{541} => {7}, support=0.0030, confidence=0.9142
{398} => {12}, support=0.0017, confidence=0.6996
{556} => {7}, support=0.0019, confidence=0.8783
{401} => {12}, support=0.0015, confidence=0.6247
{403} => {12}, support=0.0013, confidence=0.6652
{564} => {7}, support=0.0013, confidence=0.8933
{565} => {7}, support=0.0013, confidence=0.9408
{568} => {7}, support=0.0011, confidence=0.9611
{569} => {7}, support=0.0034, confidence=0.9465
{574} => {7}, support=0.0033, confidence=0.8976
{423} => {12}, support=0.0017, confidence=0.7289
{424} => {12}, support=0.0050, confidence=0.8234
{580} => {7}, support=0.0012, confidence=0.9067
{425} => {12}, support=0.0013, confidence=0.7286
{583} => {7}, support=0.0018, confidence=0.9297
{585} => {7}, support=0.0044, confidence=0.8519
{586} => {7}, support=0.0013, confidence=0.8147
{588} => {7}, support=0.0014, confidence=0.8913
{589} => {7}, support=0.0011, confidence=0.9163
{435} => {12}, support=0.0023, confidence=0.7629
{436} => {12}, support=0.0022, confidence=0.7571
{439} => {12}, support=0.0097, confidence=0.8286
{599} => {7}, support=0.0024, confidence=0.9190
{446} => {12}, support=0.0012, confidence=0.8214
{604} => {7}, support=0.0022, confidence=0.8104
{449} => {12}, support=0.0018, confidence=0.7618
{453} => {12}, support=0.0021, confidence=0.7883
{456} => {12}, support=0.0016, confidence=0.7379
{468} => {12}, support=0.0016, confidence=0.6491
{471} => {12}, support=0.0024, confidence=0.8300
{473} => {12}, support=0.0010, confidence=0.7777
{474} => {12}, support=0.0020, confidence=0.7717
{632} => {7}, support=0.0036, confidence=0.8377
{633} => {7}, support=0.0044, confidence=0.8409
{634} => {7}, support=0.0052, confidence=0.9097
{483} => {12}, support=0.0013, confidence=0.7011
{641} => {7}, support=0.0056, confidence=0.8286
{645} => {7}, support=0.0048, confidence=0.8529
{492} => {12}, support=0.0027, confidence=0.7849
{493} => {12}, support=0.0037, confidence=0.7627
{495} => {12}, support=0.0039, confidence=0.7639
{651} => {7}, support=0.0015, confidence=0.8817
{497} => {12}, support=0.0023, confidence=0.7143
{499} => {12}, support=0.0011, confidence=0.6980
{500} => {12}, support=0.0022, confidence=0.6303
{658} => {7}, support=0.0013, confidence=0.9283
{659} => {7}, support=0.0019, confidence=0.9018
{660} => {7}, support=0.0038, confidence=0.9177
{661} => {7}, support=0.0018, confidence=0.8973
{507} => {12}, support=0.0038, confidence=0.8710
{663} => {7}, support=0.0060, confidence=0.8924
{509} => {12}, support=0.0014, confidence=0.7652
{666} => {7}, support=0.0030, confidence=0.9141
{667} => {7}, support=0.0013, confidence=0.7995
{668} => {7}, support=0.0072, confidence=0.9039
{513} => {12}, support=0.0051, confidence=0.7753
{515} => {12}, support=0.0024, confidence=0.7328
{671} => {7}, support=0.0049, confidence=0.8673
{517} => {12}, support=0.0010, confidence=0.7870
{673} => {7}, support=0.0013, confidence=0.9297
{676} => {7}, support=0.0012, confidence=0.8503
{521} => {12}, support=0.0011, confidence=0.7736
{522} => {12}, support=0.0026, confidence=0.7794
{678} => {7}, support=0.0026, confidence=0.7952
{523} => {12}, support=0.0020, confidence=0.7627
{679} => {7}, support=0.0035, confidence=0.9031
{29} => {28}, support=0.0043, confidence=0.6515
{526} => {12}, support=0.0011, confidence=0.7677
{529} => {12}, support=0.0011, confidence=0.8052
{33} => {28}, support=0.0047, confidence=0.6364
{687} => {7}, support=0.0026, confidence=0.8979
{532} => {12}, support=0.0023, confidence=0.7570
{688} => {7}, support=0.0019, confidence=0.8683
{689} => {7}, support=0.0011, confidence=0.8674
{38} => {28}, support=0.0016, confidence=0.6891
{535} => {12}, support=0.0022, confidence=0.6916
{538} => {12}, support=0.0020, confidence=0.8026
{541} => {12}, support=0.0025, confidence=0.7565
{698} => {7}, support=0.0014, confidence=0.9019
{50} => {28}, support=0.0055, confidence=0.7207
{556} => {12}, support=0.0014, confidence=0.6794
{29} => {33}, support=0.0060, confidence=0.9182
{33} => {29}, support=0.0060, confidence=0.8204
{564} => {12}, support=0.0011, confidence=0.7317
{720} => {7}, support=0.0011, confidence=0.9045
{565} => {12}, support=0.0011, confidence=0.7901
{38} => {29}, support=0.0018, confidence=0.7740
{568} => {12}, support=0.0010, confidence=0.8698
{569} => {12}, support=0.0031, confidence=0.8518
{574} => {12}, support=0.0027, confidence=0.7383
{580} => {12}, support=0.0010, confidence=0.7589
{738} => {7}, support=0.0123, confidence=0.8472
{583} => {12}, support=0.0015, confidence=0.7573
{739} => {7}, support=0.0024, confidence=0.8801
{88} => {28}, support=0.0079, confidence=0.6380
{585} => {12}, support=0.0032, confidence=0.6158
{89} => {28}, support=0.0014, confidence=0.6585
{588} => {12}, support=0.0011, confidence=0.7303
{745} => {7}, support=0.0011, confidence=0.9027
{748} => {7}, support=0.0035, confidence=0.9140
{754} => {7}, support=0.0013, confidence=0.9062
{599} => {12}, support=0.0021, confidence=0.8022
{604} => {12}, support=0.0016, confidence=0.6176
{763} => {7}, support=0.0031, confidence=0.9166
{773} => {7}, support=0.0015, confidence=0.8995
{774} => {7}, support=0.0018, confidence=0.9124
{776} => {7}, support=0.0017, confidence=0.9210
{777} => {7}, support=0.0012, confidence=0.9131
{778} => {7}, support=0.0025, confidence=0.9020
{785} => {7}, support=0.0010, confidence=0.9107
{632} => {12}, support=0.0028, confidence=0.6533
{788} => {7}, support=0.0011, confidence=0.8952
{633} => {12}, support=0.0034, confidence=0.6505
{634} => {12}, support=0.0041, confidence=0.7191
{794} => {7}, support=0.0013, confidence=0.9526
{641} => {12}, support=0.0042, confidence=0.6260
{645} => {12}, support=0.0037, confidence=0.6441
{801} => {7}, support=0.0011, confidence=0.9033
{651} => {12}, support=0.0012, confidence=0.7251
{658} => {12}, support=0.0010, confidence=0.7140
{659} => {12}, support=0.0015, confidence=0.7119
{660} => {12}, support=0.0030, confidence=0.7094
{661} => {12}, support=0.0014, confidence=0.7223
{663} => {12}, support=0.0047, confidence=0.7061
{666} => {12}, support=0.0024, confidence=0.7331
{668} => {12}, support=0.0059, confidence=0.7412
{671} => {12}, support=0.0038, confidence=0.6708
{828} => {7}, support=0.0012, confidence=0.8808
{673} => {12}, support=0.0011, confidence=0.8219
{830} => {7}, support=0.0023, confidence=0.9123
{679} => {12}, support=0.0029, confidence=0.7503
{838} => {7}, support=0.0012, confidence=0.9445
{839} => {7}, support=0.0011, confidence=0.8787
{687} => {12}, support=0.0022, confidence=0.7470
{688} => {12}, support=0.0015, confidence=0.6847
{38} => {33}, support=0.0019, confidence=0.8207
{846} => {7}, support=0.0021, confidence=0.9077
{698} => {12}, support=0.0012, confidence=0.7522
{205} => {28}, support=0.0013, confidence=0.6483
{212} => {28}, support=0.0018, confidence=0.6796
{213} => {28}, support=0.0014, confidence=0.6633
{867} => {7}, support=0.0023, confidence=0.9097
{870} => {7}, support=0.0010, confidence=0.8888
{871} => {7}, support=0.0020, confidence=0.9365
{872} => {7}, support=0.0010, confidence=0.9379
{880} => {7}, support=0.0021, confidence=0.8669
{883} => {7}, support=0.0018, confidence=0.9272
{886} => {7}, support=0.0014, confidence=0.8833
{887} => {7}, support=0.0011, confidence=0.8978
{890} => {7}, support=0.0014, confidence=0.8625
{738} => {12}, support=0.0095, confidence=0.6555
{739} => {12}, support=0.0020, confidence=0.7257
{898} => {7}, support=0.0083, confidence=0.8753
{902} => {7}, support=0.0019, confidence=0.9035
{748} => {12}, support=0.0028, confidence=0.7396
{754} => {12}, support=0.0011, confidence=0.7713
{880} => {8}, support=0.0021, confidence=0.8612
{917} => {7}, support=0.0058, confidence=0.9245
{763} => {12}, support=0.0026, confidence=0.7565
{773} => {12}, support=0.0012, confidence=0.7425
{277} => {28}, support=0.0019, confidence=0.6409
{898} => {8}, support=0.0081, confidence=0.8553
{774} => {12}, support=0.0016, confidence=0.7846
{776} => {12}, support=0.0014, confidence=0.7379
{778} => {12}, support=0.0021, confidence=0.7528
{935} => {7}, support=0.0041, confidence=0.8495
{794} => {12}, support=0.0011, confidence=0.8307
{935} => {8}, support=0.0037, confidence=0.7654
{971} => {7}, support=0.0016, confidence=0.9232
{322} => {28}, support=0.0047, confidence=0.6807
{975} => {7}, support=0.0017, confidence=0.8964
{830} => {12}, support=0.0018, confidence=0.7386
{988} => {7}, support=0.0106, confidence=0.8850
{990} => {7}, support=0.0010, confidence=0.9113
{838} => {12}, support=0.0010, confidence=0.8000
{994} => {7}, support=0.0052, confidence=0.6418
{1000} => {7}, support=0.0019, confidence=0.9227
{1001} => {7}, support=0.0012, confidence=0.9007
{846} => {12}, support=0.0017, confidence=0.7505
{1015} => {7}, support=0.0011, confidence=0.8660
{1019} => {7}, support=0.0019, confidence=0.9503
{1020} => {7}, support=0.0019, confidence=0.9250
{867} => {12}, support=0.0018, confidence=0.7266
{1024} => {7}, support=0.0019, confidence=0.8336
{1026} => {7}, support=0.0026, confidence=0.9146
{871} => {12}, support=0.0017, confidence=0.7693
{1031} => {7}, support=0.0017, confidence=0.9236
{1035} => {7}, support=0.0015, confidence=0.9268
{880} => {12}, support=0.0016, confidence=0.6569
{1036} => {7}, support=0.0012, confidence=0.9198
{1038} => {7}, support=0.0016, confidence=0.9047
{883} => {12}, support=0.0016, confidence=0.8206
{886} => {12}, support=0.0011, confidence=0.7289
{1045} => {7}, support=0.0015, confidence=0.9249
{890} => {12}, support=0.0012, confidence=0.7034
{1050} => {7}, support=0.0011, confidence=0.8732
{1051} => {7}, support=0.0014, confidence=0.8492
{401} => {28}, support=0.0016, confidence=0.6815
{1053} => {7}, support=0.0020, confidence=0.8675
{898} => {12}, support=0.0063, confidence=0.6705
{403} => {28}, support=0.0013, confidence=0.6657
{902} => {12}, support=0.0015, confidence=0.7455
{1066} => {7}, support=0.0037, confidence=0.7903
{1072} => {7}, support=0.0015, confidence=0.8756
{917} => {12}, support=0.0049, confidence=0.7810
{1078} => {7}, support=0.0013, confidence=0.9034
{1050} => {8}, support=0.0010, confidence=0.8036
{1051} => {8}, support=0.0013, confidence=0.8056
{935} => {12}, support=0.0031, confidence=0.6540
{1102} => {7}, support=0.0027, confidence=0.8562
{1119} => {7}, support=0.0011, confidence=0.8058
{971} => {12}, support=0.0014, confidence=0.7833
{975} => {12}, support=0.0014, confidence=0.7604
{1132} => {7}, support=0.0014, confidence=0.9071
{42} => {47}, support=0.0017, confidence=0.7517
{1133} => {7}, support=0.0024, confidence=0.9311
{1139} => {7}, support=0.0022, confidence=0.8515
{1141} => {7}, support=0.0014, confidence=0.8620
{1142} => {7}, support=0.0028, confidence=0.9065
{988} => {12}, support=0.0078, confidence=0.6462
{1144} => {7}, support=0.0010, confidence=0.9299
{1145} => {7}, support=0.0041, confidence=0.8800
{1147} => {7}, support=0.0016, confidence=0.8800
{1150} => {7}, support=0.0018, confidence=0.8477
{1000} => {12}, support=0.0017, confidence=0.8212
{1156} => {7}, support=0.0011, confidence=0.8573
{1001} => {12}, support=0.0011, confidence=0.7875
{1139} => {8}, support=0.0020, confidence=0.7742
{1141} => {8}, support=0.0013, confidence=0.8095
{1019} => {12}, support=0.0017, confidence=0.8472
{1175} => {7}, support=0.0012, confidence=0.8364
{1020} => {12}, support=0.0016, confidence=0.7934
{1024} => {12}, support=0.0014, confidence=0.6233
{1026} => {12}, support=0.0021, confidence=0.7443
{1031} => {12}, support=0.0015, confidence=0.7816
{1156} => {8}, support=0.0010, confidence=0.8366
{1035} => {12}, support=0.0013, confidence=0.8242
{1036} => {12}, support=0.0010, confidence=0.8007
{1038} => {12}, support=0.0013, confidence=0.7562
{1045} => {12}, support=0.0013, confidence=0.7952
{1051} => {12}, support=0.0011, confidence=0.6653
{1053} => {12}, support=0.0016, confidence=0.6586
{162} => {41}, support=0.0014, confidence=0.8890
{1066} => {12}, support=0.0029, confidence=0.6341
{1072} => {12}, support=0.0012, confidence=0.7002
{1078} => {12}, support=0.0010, confidence=0.7175
{1102} => {12}, support=0.0021, confidence=0.6738
{1132} => {12}, support=0.0012, confidence=0.7574
{1133} => {12}, support=0.0021, confidence=0.7812
{1139} => {12}, support=0.0017, confidence=0.6471
{1141} => {12}, support=0.0011, confidence=0.6656
{1142} => {12}, support=0.0023, confidence=0.7457
{1145} => {12}, support=0.0032, confidence=0.6895
{1147} => {12}, support=0.0013, confidence=0.7268
{1150} => {12}, support=0.0014, confidence=0.6511
{1465} => {7}, support=0.0012, confidence=0.8795
{1470} => {7}, support=0.0012, confidence=0.9119
{1482} => {7}, support=0.0013, confidence=0.8902
{1490} => {7}, support=0.0010, confidence=0.7332
{1497} => {7}, support=0.0013, confidence=0.8540
{1508} => {7}, support=0.0019, confidence=0.8538
{1518} => {7}, support=0.0011, confidence=0.9222
{1525} => {7}, support=0.0018, confidence=0.7789
{1497} => {8}, support=0.0010, confidence=0.6534
{1530} => {7}, support=0.0019, confidence=0.8743
{880} => {28}, support=0.0018, confidence=0.7641
{1537} => {7}, support=0.0015, confidence=0.9016
{1508} => {8}, support=0.0015, confidence=0.6668
{1542} => {7}, support=0.0014, confidence=0.8736
{1545} => {7}, support=0.0014, confidence=0.8653
{1546} => {7}, support=0.0014, confidence=0.8713
{898} => {28}, support=0.0059, confidence=0.6199
{1560} => {7}, support=0.0012, confidence=0.9116
{1530} => {8}, support=0.0018, confidence=0.8322
{1570} => {7}, support=0.0014, confidence=0.8198
{1571} => {7}, support=0.0014, confidence=0.8693
{1482} => {12}, support=0.0011, confidence=0.7099
{1645} => {7}, support=0.0035, confidence=0.9040
{1497} => {12}, support=0.0010, confidence=0.6615
{1508} => {12}, support=0.0015, confidence=0.6534
{1530} => {12}, support=0.0016, confidence=0.7162
{1537} => {12}, support=0.0012, confidence=0.7196
{1542} => {12}, support=0.0012, confidence=0.7552
{1545} => {12}, support=0.0012, confidence=0.7438
{1546} => {12}, support=0.0012, confidence=0.7638
{1051} => {28}, support=0.0011, confidence=0.7196
{1053} => {28}, support=0.0016, confidence=0.6899
{1708} => {7}, support=0.0016, confidence=0.9336
{658} => {41}, support=0.0013, confidence=0.8862
{659} => {41}, support=0.0017, confidence=0.7933
{660} => {41}, support=0.0037, confidence=0.8987
{661} => {41}, support=0.0017, confidence=0.8314
{666} => {41}, support=0.0029, confidence=0.8889
