=== Pass1 -> L1.dat ===
Total transactions: 100000
Pass1 time: 0.043 sec
=== Pass2 -> L2.dat ===
Found 8831 frequent pairs
Pass2 time: 0.952 sec
=== Pass3 -> L3.dat ===
Found 7130 frequent triples
Pass3 time: 0.675 sec

=== Association Rules (confidence >= 0.60) ===
{15} => {161}, support=0.0019, confidence=0.9442
{731} => {53}, support=0.0042, confidence=0.7043
{57} => {664}, support=0.0010, confidence=0.9211
{57} => {695}, support=0.0011, confidence=0.9561
{271} => {73}, support=0.0025, confidence=0.6106
{57} => {776}, support=0.0011, confidence=0.9649
{57} => {863}, support=0.0011, confidence=0.9561
{392} => {74}, support=0.0010, confidence=0.8947
{84} => {168}, support=0.0017, confidence=0.9337
{521} => {73}, support=0.0029, confidence=0.6165
{68} => {693}, support=0.0031, confidence=0.9715
{229} => {83}, support=0.0010, confidence=0.8729
{546} => {73}, support=0.0012, confidence=0.9916
{68} => {747}, support=0.0031, confidence=0.9715
{604} => {74}, support=0.0033, confidence=0.7227
{68} => {798}, support=0.0031, confidence=0.9684
{596} => {76}, support=0.0049, confidence=0.6161
{92} => {101}, support=0.0010, confidence=0.8879
{90} => {199}, support=0.0015, confidence=0.7204
{92} => {143}, support=0.0011, confidence=0.9138
{192} => {91}, support=0.0011, confidence=0.9640
{256} => {89}, support=0.0013, confidence=0.7081
{820} => {71}, support=0.0080, confidence=0.6348
{84} => {428}, support=0.0016, confidence=0.8785
{68} => {967}, support=0.0030, confidence=0.9557
{823} => {73}, support=0.0029, confidence=0.8174
{645} => {79}, support=0.0019, confidence=0.9391
{82} => {555}, support=0.0026, confidence=0.9667
{752} => {79}, support=0.0035, confidence=0.8917
{82} => {660}, support=0.0026, confidence=0.9704
{937} => {74}, support=0.0032, confidence=0.9496
{782} => {79}, support=0.0038, confidence=0.9141
{427} => {91}, support=0.0010, confidence=0.9459
{962} => {74}, support=0.0033, confidence=0.6920
{82} => {719}, support=0.0026, confidence=0.9667
{84} => {676}, support=0.0017, confidence=0.9282
{90} => {519}, support=0.0016, confidence=0.7536
{102} => {148}, support=0.0031, confidence=0.9331
{82} => {798}, support=0.0026, confidence=0.9741
{910} => {79}, support=0.0033, confidence=0.6267
{84} => {767}, support=0.0016, confidence=0.8950
{102} => {230}, support=0.0031, confidence=0.9362
{92} => {595}, support=0.0010, confidence=0.9052
{703} => {89}, support=0.0013, confidence=0.9416
{484} => {98}, support=0.0033, confidence=0.7472
{157} => {109}, support=0.0036, confidence=0.6329
{84} => {950}, support=0.0017, confidence=0.9558
{645} => {95}, support=0.0018, confidence=0.9340
{180} => {114}, support=0.0023, confidence=0.9789
{90} => {933}, support=0.0015, confidence=0.7346
{682} => {101}, support=0.0024, confidence=0.6831
{102} => {658}, support=0.0031, confidence=0.9271
{658} => {102}, support=0.0031, confidence=0.6028
{125} => {121}, support=0.0026, confidence=0.8776
{841} => {98}, support=0.0033, confidence=0.7377
{102} => {779}, support=0.0031, confidence=0.9331
{302} => {119}, support=0.0030, confidence=0.9773
{102} => {904}, support=0.0030, confidence=0.9088
{125} => {206}, support=0.0026, confidence=0.8776
{413} => {121}, support=0.0032, confidence=0.6267
{735} => {111}, support=0.0016, confidence=0.7419
{636} => {116}, support=0.0013, confidence=0.9265
{484} => {121}, support=0.0032, confidence=0.7335
{536} => {123}, support=0.0028, confidence=0.9558
{681} => {121}, support=0.0016, confidence=0.6695
{125} => {582}, support=0.0026, confidence=0.8673
{841} => {121}, support=0.0032, confidence=0.7265
{502} => {132}, support=0.0011, confidence=0.9068
{699} => {126}, support=0.0021, confidence=0.9025
{139} => {308}, support=0.0022, confidence=0.8716
{931} => {119}, support=0.0030, confidence=0.9465
{645} => {130}, support=0.0019, confidence=0.9645
{563} => {133}, support=0.0031, confidence=0.6688
{125} => {835}, support=0.0026, confidence=0.8741
{699} => {131}, support=0.0022, confidence=0.9449
{139} => {487}, support=0.0022, confidence=0.8638
{151} => {205}, support=0.0039, confidence=0.9488
{151} => {237}, support=0.0038, confidence=0.9341
{482} => {144}, support=0.0056, confidence=0.6284
{477} => {146}, support=0.0010, confidence=0.7895
{657} => {141}, support=0.0011, confidence=0.6883
{273} => {155}, support=0.0044, confidence=0.6662
{140} => {791}, support=0.0044, confidence=0.6528
{157} => {295}, support=0.0037, confidence=0.6486
{483} => {152}, support=0.0023, confidence=0.7659
{437} => {155}, support=0.0043, confidence=0.7385
{159} => {355}, support=0.0064, confidence=0.7285
{214} => {165}, support=0.0033, confidence=0.6398
{974} => {146}, support=0.0034, confidence=0.6641
{151} => {827}, support=0.0038, confidence=0.9341
{273} => {169}, support=0.0043, confidence=0.6586
{159} => {584}, support=0.0064, confidence=0.7229
{151} => {853}, support=0.0039, confidence=0.9463
{853} => {151}, support=0.0039, confidence=0.7212
{159} => {618}, support=0.0064, confidence=0.7206
{536} => {162}, support=0.0028, confidence=0.9660
{151} => {907}, support=0.0040, confidence=0.9659
{720} => {158}, support=0.0052, confidence=0.7828
{325} => {171}, support=0.0016, confidence=0.9538
{175} => {242}, support=0.0036, confidence=0.6235
{437} => {169}, support=0.0043, confidence=0.7351
{463} => {172}, support=0.0014, confidence=0.9290
{752} => {164}, support=0.0036, confidence=0.9018
{180} => {266}, support=0.0022, confidence=0.9325
{183} => {230}, support=0.0027, confidence=0.9366
{183} => {277}, support=0.0026, confidence=0.9296
{180} => {378}, support=0.0023, confidence=0.9662
{899} => {164}, support=0.0031, confidence=0.9874
{597} => {174}, support=0.0025, confidence=0.9368
{180} => {412}, support=0.0023, confidence=0.9705
{180} => {416}, support=0.0022, confidence=0.9409
{187} => {266}, support=0.0023, confidence=0.6724
{183} => {418}, support=0.0025, confidence=0.8803
{175} => {693}, support=0.0037, confidence=0.6477
{605} => {178}, support=0.0043, confidence=0.9509
{614} => {178}, support=0.0024, confidence=0.6300
{175} => {767}, support=0.0041, confidence=0.7029
{183} => {530}, support=0.0027, confidence=0.9472
{563} => {182}, support=0.0031, confidence=0.6775
{192} => {277}, support=0.0011, confidence=0.9640
{192} => {340}, support=0.0011, confidence=0.9550
{782} => {178}, support=0.0040, confidence=0.9451
{183} => {651}, support=0.0026, confidence=0.9225
{651} => {183}, support=0.0026, confidence=0.9324
{175} => {951}, support=0.0037, confidence=0.6373
{192} => {427}, support=0.0011, confidence=0.9640
{427} => {192}, support=0.0011, confidence=0.9640
{892} => {178}, support=0.0011, confidence=0.7152
{892} => {181}, support=0.0010, confidence=0.6887
{499} => {197}, support=0.0022, confidence=0.6862
{910} => {184}, support=0.0033, confidence=0.6305
{557} => {197}, support=0.0020, confidence=0.8208
{499} => {199}, support=0.0022, confidence=0.6677
{187} => {896}, support=0.0024, confidence=0.6810
{192} => {826}, support=0.0011, confidence=0.9730
{268} => {210}, support=0.0021, confidence=0.9552
{645} => {199}, support=0.0019, confidence=0.9645
{899} => {191}, support=0.0032, confidence=0.9906
{192} => {915}, support=0.0011, confidence=0.9910
{459} => {209}, support=0.0080, confidence=0.7082
{325} => {215}, support=0.0016, confidence=0.9538
{752} => {206}, support=0.0036, confidence=0.9093
{223} => {276}, support=0.0010, confidence=0.8254
{853} => {205}, support=0.0039, confidence=0.7156
{516} => {218}, support=0.0084, confidence=0.7230
{892} => {206}, support=0.0011, confidence=0.7152
{223} => {404}, support=0.0010, confidence=0.8095
{970} => {209}, support=0.0081, confidence=0.9494
{463} => {228}, support=0.0014, confidence=0.9290
{223} => {685}, support=0.0010, confidence=0.8175
{223} => {687}, support=0.0010, confidence=0.8254
{229} => {512}, support=0.0010, confidence=0.8898
{892} => {218}, support=0.0011, confidence=0.7152
{893} => {218}, support=0.0015, confidence=0.7045
{223} => {828}, support=0.0010, confidence=0.8016
{828} => {223}, support=0.0010, confidence=0.7769
{651} => {230}, support=0.0027, confidence=0.9431
{658} => {230}, support=0.0031, confidence=0.6067
{715} => {230}, support=0.0031, confidence=0.8847
{229} => {761}, support=0.0011, confidence=0.9576
{521} => {240}, support=0.0029, confidence=0.6144
{502} => {243}, support=0.0011, confidence=0.9576
{628} => {240}, support=0.0028, confidence=0.9589
{229} => {983}, support=0.0011, confidence=0.9068
{853} => {237}, support=0.0038, confidence=0.7100
{823} => {240}, support=0.0029, confidence=0.8202
{765} => {243}, support=0.0034, confidence=0.7906
{499} => {253}, support=0.0022, confidence=0.6800
{413} => {257}, support=0.0031, confidence=0.6035
{256} => {572}, support=0.0014, confidence=0.7405
{262} => {475}, support=0.0023, confidence=0.6326
{268} => {297}, support=0.0021, confidence=0.9372
{268} => {330}, support=0.0022, confidence=0.9731
{256} => {703}, support=0.0013, confidence=0.7243
{703} => {256}, support=0.0013, confidence=0.9781
{264} => {457}, support=0.0043, confidence=0.6529
{271} => {296}, support=0.0025, confidence=0.6082
{268} => {412}, support=0.0021, confidence=0.9417
{264} => {551}, support=0.0043, confidence=0.6621
{268} => {441}, support=0.0021, confidence=0.9552
{265} => {573}, support=0.0025, confidence=0.8519
{256} => {860}, support=0.0013, confidence=0.7081
{256} => {891}, support=0.0013, confidence=0.7189
{782} => {260}, support=0.0039, confidence=0.9403
{306} => {276}, support=0.0019, confidence=0.9190
{807} => {260}, support=0.0020, confidence=0.6623
{546} => {269}, support=0.0012, confidence=1.0000
{300} => {277}, support=0.0035, confidence=0.6667
{256} => {957}, support=0.0014, confidence=0.7351
{273} => {437}, support=0.0044, confidence=0.6631
{437} => {273}, support=0.0044, confidence=0.7419
{271} => {530}, support=0.0026, confidence=0.6250
{883} => {260}, support=0.0033, confidence=0.9597
{271} => {542}, support=0.0025, confidence=0.6034
{264} => {770}, support=0.0047, confidence=0.7232
{265} => {767}, support=0.0026, confidence=0.8620
{427} => {277}, support=0.0011, confidence=0.9640
{268} => {723}, support=0.0021, confidence=0.9327
{264} => {887}, support=0.0043, confidence=0.6544
{273} => {629}, support=0.0043, confidence=0.6601
{262} => {971}, support=0.0023, confidence=0.6271
{268} => {804}, support=0.0021, confidence=0.9327
{521} => {279}, support=0.0030, confidence=0.6314
{376} => {284}, support=0.0031, confidence=0.7434
{651} => {277}, support=0.0026, confidence=0.9181
{516} => {284}, support=0.0083, confidence=0.7161
{271} => {938}, support=0.0026, confidence=0.6130
{784} => {277}, support=0.0034, confidence=0.7286
{828} => {276}, support=0.0011, confidence=0.8308
{765} => {280}, support=0.0034, confidence=0.7929
{463} => {290}, support=0.0014, confidence=0.9032
{823} => {279}, support=0.0030, confidence=0.8483
{459} => {291}, support=0.0079, confidence=0.6993
{722} => {284}, support=0.0032, confidence=0.7127
{943} => {277}, support=0.0036, confidence=0.8326
{392} => {296}, support=0.0011, confidence=0.9561
{300} => {414}, support=0.0034, confidence=0.6609
{302} => {363}, support=0.0030, confidence=0.9773
{610} => {297}, support=0.0018, confidence=0.9620
{302} => {490}, support=0.0031, confidence=0.9903
{306} => {369}, support=0.0019, confidence=0.9238
{302} => {523}, support=0.0030, confidence=0.9676
{300} => {635}, support=0.0034, confidence=0.6494
{306} => {472}, support=0.0019, confidence=0.9048
{302} => {623}, support=0.0030, confidence=0.9676
{970} => {291}, support=0.0080, confidence=0.9388
{300} => {784}, support=0.0033, confidence=0.6360
{784} => {300}, support=0.0033, confidence=0.7094
{314} => {391}, support=0.0016, confidence=0.7321
{300} => {838}, support=0.0033, confidence=0.6303
{300} => {943}, support=0.0033, confidence=0.6322
{943} => {300}, support=0.0033, confidence=0.7569
{302} => {931}, support=0.0030, confidence=0.9741
{931} => {302}, support=0.0030, confidence=0.9465
{710} => {311}, support=0.0044, confidence=0.6562
{477} => {320}, support=0.0011, confidence=0.7970
{325} => {347}, support=0.0016, confidence=0.9249
{314} => {693}, support=0.0016, confidence=0.7188
{318} => {641}, support=0.0020, confidence=0.7519
{589} => {320}, support=0.0027, confidence=0.7044
{314} => {830}, support=0.0017, confidence=0.7455
{467} => {327}, support=0.0014, confidence=0.6745
{596} => {326}, support=0.0049, confidence=0.6161
{325} => {751}, support=0.0016, confidence=0.9364
{427} => {340}, support=0.0011, confidence=0.9550
{646} => {335}, support=0.0039, confidence=0.6644
{403} => {348}, support=0.0028, confidence=0.9371
{436} => {347}, support=0.0034, confidence=0.9440
{536} => {344}, support=0.0028, confidence=0.9592
{516} => {347}, support=0.0085, confidence=0.7281
{343} => {734}, support=0.0036, confidence=0.8420
{557} => {351}, support=0.0020, confidence=0.8250
{546} => {352}, support=0.0012, confidence=0.9916
{453} => {358}, support=0.0018, confidence=0.8634
{343} => {933}, support=0.0037, confidence=0.8726
{843} => {351}, support=0.0060, confidence=0.7992
{372} => {402}, support=0.0036, confidence=0.8988
{682} => {363}, support=0.0025, confidence=0.7384
{376} => {386}, support=0.0031, confidence=0.7434
{373} => {511}, support=0.0017, confidence=0.9709
{372} => {555}, support=0.0039, confidence=0.9580
{377} => {406}, support=0.0030, confidence=0.8287
{735} => {369}, support=0.0017, confidence=0.7926
{931} => {363}, support=0.0030, confidence=0.9403
{380} => {439}, support=0.0023, confidence=0.6000
{373} => {683}, support=0.0017, confidence=0.9826
{371} => {798}, support=0.0034, confidence=0.8860
{384} => {461}, support=0.0043, confidence=0.6407
{373} => {803}, support=0.0017, confidence=0.9709
{803} => {373}, support=0.0017, confidence=0.8883
{376} => {722}, support=0.0030, confidence=0.7290
{722} => {376}, support=0.0030, confidence=0.6878
{377} => {695}, support=0.0031, confidence=0.8536
{376} => {732}, support=0.0031, confidence=0.7338
{373} => {845}, support=0.0017, confidence=0.9709
{372} => {887}, support=0.0036, confidence=0.8963
{371} => {924}, support=0.0026, confidence=0.6658
{371} => {933}, support=0.0025, confidence=0.6554
{376} => {791}, support=0.0031, confidence=0.7434
{371} => {948}, support=0.0033, confidence=0.8549
{372} => {919}, support=0.0036, confidence=0.8963
{377} => {789}, support=0.0031, confidence=0.8536
{371} => {978}, support=0.0025, confidence=0.6399
{978} => {371}, support=0.0025, confidence=0.9148
{373} => {923}, support=0.0017, confidence=0.9826
{486} => {388}, support=0.0028, confidence=0.6173
{376} => {886}, support=0.0031, confidence=0.7362
{392} => {481}, support=0.0010, confidence=0.8860
{536} => {391}, support=0.0028, confidence=0.9524
{694} => {386}, support=0.0027, confidence=0.6873
{392} => {535}, support=0.0011, confidence=0.9649
{722} => {386}, support=0.0031, confidence=0.6991
{384} => {859}, support=0.0042, confidence=0.6257
{392} => {759}, support=0.0011, confidence=0.9474
{765} => {393}, support=0.0034, confidence=0.8024
{453} => {404}, support=0.0018, confidence=0.8585
{392} => {830}, support=0.0011, confidence=0.9912
{802} => {393}, support=0.0066, confidence=0.7952
{946} => {389}, support=0.0037, confidence=0.6959
{403} => {578}, support=0.0028, confidence=0.9172
{392} => {941}, support=0.0010, confidence=0.8772
{680} => {402}, support=0.0020, confidence=0.8024
{401} => {759}, support=0.0032, confidence=0.6653
{410} => {486}, support=0.0042, confidence=0.6436
{486} => {410}, support=0.0042, confidence=0.9270
{403} => {723}, support=0.0029, confidence=0.9536
{867} => {401}, support=0.0026, confidence=0.9887
{403} => {805}, support=0.0028, confidence=0.9238
{401} => {896}, support=0.0032, confidence=0.6695
{828} => {404}, support=0.0011, confidence=0.8154
{407} => {790}, support=0.0049, confidence=0.6268
{413} => {741}, support=0.0032, confidence=0.6190
{651} => {418}, support=0.0025, confidence=0.8826
{843} => {412}, support=0.0060, confidence=0.8019
{784} => {414}, support=0.0034, confidence=0.7222
{413} => {830}, support=0.0032, confidence=0.6132
{943} => {414}, support=0.0033, confidence=0.7661
{715} => {423}, support=0.0030, confidence=0.8559
{436} => {528}, support=0.0032, confidence=0.9048
{427} => {826}, support=0.0011, confidence=0.9820
{484} => {439}, support=0.0033, confidence=0.7494
{427} => {915}, support=0.0011, confidence=0.9910
{483} => {441}, support=0.0023, confidence=0.7592
{437} => {629}, support=0.0043, confidence=0.7317
{648} => {441}, support=0.0037, confidence=0.6715
{436} => {804}, support=0.0033, confidence=0.9272
{445} => {569}, support=0.0018, confidence=0.6885
{602} => {444}, support=0.0022, confidence=0.7291
{445} => {599}, support=0.0026, confidence=0.9846
{841} => {439}, support=0.0033, confidence=0.7377
{445} => {695}, support=0.0025, confidence=0.9500
{954} => {439}, support=0.0034, confidence=0.6571
{453} => {654}, support=0.0017, confidence=0.8341
{453} => {709}, support=0.0017, confidence=0.8293
{456} => {753}, support=0.0039, confidence=0.8543
{463} => {542}, support=0.0014, confidence=0.9226
{453} => {887}, support=0.0017, confidence=0.8439
{460} => {676}, support=0.0043, confidence=0.9312
{460} => {702}, support=0.0043, confidence=0.9269
{467} => {487}, support=0.0014, confidence=0.6698
{932} => {454}, support=0.0011, confidence=0.6588
{463} => {675}, support=0.0015, confidence=0.9548
{459} => {889}, support=0.0080, confidence=0.7082
{460} => {922}, support=0.0043, confidence=0.9183
{459} => {970}, support=0.0079, confidence=0.7011
{970} => {459}, support=0.0079, confidence=0.9282
{463} => {947}, support=0.0014, confidence=0.9355
{483} => {478}, support=0.0018, confidence=0.6154
{679} => {472}, support=0.0081, confidence=0.6095
{463} => {965}, support=0.0014, confidence=0.9290
{720} => {471}, support=0.0046, confidence=0.6998
{477} => {537}, support=0.0010, confidence=0.7594
{819} => {473}, support=0.0027, confidence=0.8421
{484} => {510}, support=0.0032, confidence=0.7312
{484} => {514}, support=0.0032, confidence=0.7335
{744} => {481}, support=0.0018, confidence=0.9433
{477} => {915}, support=0.0010, confidence=0.7895
{483} => {741}, support=0.0023, confidence=0.7592
{486} => {693}, support=0.0029, confidence=0.6327
{484} => {841}, support=0.0032, confidence=0.7358
{841} => {484}, support=0.0032, confidence=0.7242
{486} => {790}, support=0.0028, confidence=0.6150
{482} => {920}, support=0.0054, confidence=0.6036
{486} => {799}, support=0.0027, confidence=0.6040
{765} => {490}, support=0.0033, confidence=0.7859
{648} => {495}, support=0.0042, confidence=0.7604
{499} => {530}, support=0.0022, confidence=0.6800
{627} => {497}, support=0.0076, confidence=0.8707
{486} => {999}, support=0.0027, confidence=0.6018
{857} => {491}, support=0.0010, confidence=0.9450
{502} => {555}, support=0.0011, confidence=0.9407
{931} => {490}, support=0.0031, confidence=0.9623
{499} => {914}, support=0.0022, confidence=0.6800
{604} => {511}, support=0.0032, confidence=0.6943
{946} => {501}, support=0.0037, confidence=0.6996
{803} => {511}, support=0.0017, confidence=0.8830
{841} => {510}, support=0.0032, confidence=0.7175
{636} => {518}, support=0.0012, confidence=0.9118
{648} => {518}, support=0.0038, confidence=0.6824
{841} => {514}, support=0.0032, confidence=0.7197
{937} => {511}, support=0.0032, confidence=0.9377
{589} => {523}, support=0.0027, confidence=0.7069
{962} => {511}, support=0.0032, confidence=0.6857
{628} => {522}, support=0.0028, confidence=0.9589
{521} => {776}, support=0.0030, confidence=0.6314
{521} => {823}, support=0.0029, confidence=0.6123
{823} => {521}, support=0.0029, confidence=0.8118
{521} => {833}, support=0.0029, confidence=0.6186
{651} => {530}, support=0.0027, confidence=0.9502
{521} => {971}, support=0.0029, confidence=0.6165
{931} => {523}, support=0.0030, confidence=0.9403
{917} => {526}, support=0.0028, confidence=0.9052
{814} => {530}, support=0.0033, confidence=0.7891
{536} => {676}, support=0.0028, confidence=0.9456
{546} => {607}, support=0.0012, confidence=0.9916
{546} => {750}, support=0.0012, confidence=0.9832
{932} => {542}, support=0.0012, confidence=0.6941
{546} => {842}, support=0.0012, confidence=0.9916
{812} => {549}, support=0.0025, confidence=0.6927
{671} => {559}, support=0.0023, confidence=0.9506
{557} => {816}, support=0.0019, confidence=0.8125
{563} => {634}, support=0.0031, confidence=0.6732
{563} => {907}, support=0.0031, confidence=0.6710
{680} => {572}, support=0.0020, confidence=0.8226
{703} => {572}, support=0.0013, confidence=0.9708
{802} => {570}, support=0.0050, confidence=0.6024
{843} => {573}, support=0.0059, confidence=0.7872
{812} => {574}, support=0.0024, confidence=0.6816
{843} => {580}, support=0.0060, confidence=0.7979
{899} => {582}, support=0.0032, confidence=0.9906
{590} => {721}, support=0.0020, confidence=0.9299
{590} => {793}, support=0.0020, confidence=0.9346
{597} => {631}, support=0.0021, confidence=0.7955
{597} => {650}, support=0.0024, confidence=0.9033
{596} => {776}, support=0.0049, confidence=0.6123
{597} => {790}, support=0.0021, confidence=0.7732
{597} => {810}, support=0.0025, confidence=0.9257
{604} => {685}, support=0.0033, confidence=0.7140
{597} => {920}, support=0.0021, confidence=0.7732
{605} => {785}, support=0.0043, confidence=0.9509
{604} => {937}, support=0.0032, confidence=0.7052
{937} => {604}, support=0.0032, confidence=0.9585
{604} => {962}, support=0.0032, confidence=0.7096
{962} => {604}, support=0.0032, confidence=0.6857
{605} => {948}, support=0.0043, confidence=0.9509
{682} => {617}, support=0.0024, confidence=0.6919
{614} => {829}, support=0.0024, confidence=0.6434
{628} => {706}, support=0.0028, confidence=0.9658
{931} => {623}, support=0.0030, confidence=0.9371
{636} => {745}, support=0.0012, confidence=0.8750
{784} => {635}, support=0.0033, confidence=0.7030
{636} => {845}, support=0.0013, confidence=0.9412
{636} => {846}, support=0.0013, confidence=0.9338
{943} => {635}, support=0.0033, confidence=0.7661
{807} => {641}, support=0.0021, confidence=0.6818
{645} => {923}, support=0.0019, confidence=0.9797
{645} => {927}, support=0.0019, confidence=0.9746
{648} => {884}, support=0.0037, confidence=0.6788
{648} => {894}, support=0.0036, confidence=0.6570
{681} => {656}, support=0.0015, confidence=0.6356
{648} => {983}, support=0.0036, confidence=0.6588
{658} => {779}, support=0.0031, confidence=0.6087
{720} => {660}, support=0.0046, confidence=0.6983
{822} => {662}, support=0.0017, confidence=0.9665
{671} => {775}, support=0.0023, confidence=0.9300
{678} => {745}, support=0.0038, confidence=0.9410
{678} => {869}, support=0.0038, confidence=0.9263
{869} => {678}, support=0.0038, confidence=0.7392
{910} => {677}, support=0.0033, confidence=0.6305
{681} => {829}, support=0.0016, confidence=0.6653
{803} => {683}, support=0.0017, confidence=0.8936
{680} => {898}, support=0.0020, confidence=0.8226
{682} => {839}, support=0.0025, confidence=0.7355
{820} => {685}, support=0.0080, confidence=0.6364
{828} => {685}, support=0.0011, confidence=0.8231
{828} => {687}, support=0.0011, confidence=0.8154
{937} => {685}, support=0.0032, confidence=0.9555
{959} => {685}, support=0.0026, confidence=0.6009
{962} => {685}, support=0.0033, confidence=0.6878
{715} => {693}, support=0.0030, confidence=0.8674
{974} => {687}, support=0.0034, confidence=0.6621
{998} => {693}, support=0.0018, confidence=0.6728
{699} => {840}, support=0.0022, confidence=0.9492
{703} => {860}, support=0.0013, confidence=0.9416
{705} => {826}, support=0.0110, confidence=0.6143
{703} => {891}, support=0.0013, confidence=0.9416
{703} => {957}, support=0.0014, confidence=0.9854
{710} => {971}, support=0.0044, confidence=0.6562
{722} => {732}, support=0.0030, confidence=0.6878
{720} => {811}, support=0.0046, confidence=0.6938
{722} => {791}, support=0.0031, confidence=0.7014
{807} => {723}, support=0.0021, confidence=0.6753
{722} => {886}, support=0.0043, confidence=0.9706
{720} => {961}, support=0.0046, confidence=0.6938
{735} => {796}, support=0.0017, confidence=0.7972
{735} => {984}, support=0.0017, confidence=0.7788
{735} => {996}, support=0.0017, confidence=0.8018
{744} => {746}, support=0.0019, confidence=0.9639
{744} => {783}, support=0.0019, confidence=0.9691
{869} => {745}, support=0.0039, confidence=0.7608
{822} => {754}, support=0.0017, confidence=0.9665
{867} => {759}, support=0.0026, confidence=0.9699
{758} => {971}, support=0.0022, confidence=0.8776
{758} => {979}, support=0.0021, confidence=0.8612
{820} => {766}, support=0.0079, confidence=0.6261
{782} => {776}, support=0.0041, confidence=0.9881
{823} => {776}, support=0.0030, confidence=0.8511
{784} => {838}, support=0.0032, confidence=0.6859
{899} => {783}, support=0.0031, confidence=0.9874
{784} => {943}, support=0.0033, confidence=0.7030
{943} => {784}, support=0.0033, confidence=0.7546
{892} => {786}, support=0.0010, confidence=0.6887
{978} => {798}, support=0.0025, confidence=0.9407
{802} => {863}, support=0.0067, confidence=0.8072
{803} => {845}, support=0.0017, confidence=0.8830
{843} => {804}, support=0.0061, confidence=0.8072
{803} => {923}, support=0.0017, confidence=0.8883
{807} => {887}, support=0.0020, confidence=0.6591
{807} => {891}, support=0.0021, confidence=0.6753
{812} => {810}, support=0.0025, confidence=0.6983
{812} => {830}, support=0.0025, confidence=0.6927
{823} => {833}, support=0.0030, confidence=0.8315
{819} => {967}, support=0.0027, confidence=0.8483
{822} => {961}, support=0.0017, confidence=0.9441
{823} => {971}, support=0.0030, confidence=0.8315
{880} => {826}, support=0.0054, confidence=0.6208
{853} => {827}, support=0.0039, confidence=0.7156
{943} => {838}, support=0.0032, confidence=0.7317
{853} => {907}, support=0.0043, confidence=0.7937
{857} => {907}, support=0.0010, confidence=0.9450
{955} => {858}, support=0.0036, confidence=0.9891
{867} => {896}, support=0.0026, confidence=0.9662
{883} => {938}, support=0.0033, confidence=0.9539
{883} => {957}, support=0.0034, confidence=0.9683
{932} => {885}, support=0.0011, confidence=0.6529
{899} => {891}, support=0.0031, confidence=0.9780
{970} => {889}, support=0.0081, confidence=0.9541
{910} => {981}, support=0.0033, confidence=0.6267
